objID	ra	dec	z	zErr
587739296162709586	168.64283	34.691166	0.206738	1.37011E-4
587739408386818272	168.30374	34.871218	0.512008	2.4209E-4
587739408386819113	168.40496	34.785278	-9999	-9999
587739296699580499	168.65014	34.972033	0.04279	1.92561E-4
587739408386949281	168.76468	34.84529	0.472819	1.8072E-4
587739296162644140	168.54106	34.727282	0.029238	4.34633E-5
587739296699514996	168.39102	35.016353	0.079215	7.78946E-5
587739408386949177	168.65494	34.947596	-4.79064E-4	7.51997E-5
587739296162578631	168.31733	34.672322	0.395972	1.97658E-4
587739408386818244	168.27253	34.868062	3.64156	9.15861E-4
587739408386949239	168.69788	34.950098	0.106547	1.45108E-4
587739296699646111	168.79737	35.005384	0.080493	1.86843E-4
587739408386818169	168.27597	34.821186	0.117616	9.84111E-5
587739408386688041	167.97372	34.701462	-9999	-9999
587739408386687112	167.95298	34.739734	0.396388	1.69387E-4
587739408386687091	168.03481	34.804962	0.242192	1.45226E-4
587739296162513081	168.11722	34.667061	0.160252	1.87647E-4
587739408386687044	167.90304	34.797497	0.072041	7.89017E-5
587739408386752685	168.15948	34.863791	0.390146	1.81975E-4
587739296699318290	167.87876	34.867601	0.382615	3.67769E-3
587739296162578531	168.26759	34.665528	0.248963	1.36255E-4
587739296699318336	167.8458	34.95164	0.155471	1.6849E-4
587739408386752657	168.18036	34.811045	0.079397	1.50606E-4
587739296699449487	168.20057	35.033647	0.389794	1.94005E-4
587739408386752602	168.16155	34.777517	1.95583	2.38305E-3
587739296699252955	167.80075	34.86021	0.384307	2.11028E-4
587739408386556982	167.58972	34.671942	-9999	-9999
587739296699187441	167.57983	34.944387	0.2453	1.70536E-4
587739408386555974	167.50661	34.786414	0.071589	1.74944E-4
587739296699252808	167.64057	34.874459	0.079757	8.90319E-5
587739296699252870	167.76779	34.916372	0.237633	1.48244E-4
587739408386556029	167.61293	34.721112	0.072205	1.58289E-4
587739408386621538	167.78138	34.767179	0.060539	1.54831E-4
587739296699252851	167.72583	34.940151	0.327192	1.46269E-4
587738615414194240	167.72935	35.003227	0.253321	1.35839E-4
587738615414128853	167.5621	34.984316	0.243034	1.54544E-4
587739296699252755	167.62539	34.980137	1.35712	1.56267E-3
587739296699187210	167.4539	34.899588	0.24567	1.50874E-4
587739296699056261	167.17604	34.766773	0.060016	1.79597E-4
587739408386425047	167.21822	34.702445	0.383891	1.60731E-4
587739296699187313	167.47023	34.913373	0.243632	1.63989E-4
587739296699187325	167.49456	34.918739	1.45154	1.90646E-3
587739408386424911	167.32451	34.682368	-7.28402E-5	9.44176E-5
587739408386490615	167.45314	34.725815	-10E-5	2.31084E-3
587738615413997617	167.20531	34.979549	0.224367	1.54483E-4
587739408386491783	167.40488	34.67412	-9999	-9999
587739296699121819	167.38408	34.893867	0.247066	1.64599E-4
587738615950934126	167.25226	35.351859	0.073566	1.45231E-4
587738615950934190	167.32744	35.411288	0.455732	2.02697E-4
587738615950934150	167.31966	35.391547	0.060508	1.50536E-4
587739096446337135	167.28555	35.233191	0.072794	8.48799E-5
587739096446337086	167.16864	35.096977	0.325577	1.56588E-4
587739096446337168	167.28797	35.159755	0.247993	2.01156E-4
587739096983273591	167.32391	35.642283	0.171337	1.49783E-4
587739096983273539	167.20783	35.707497	0.296605	1.40632E-4
587739096983273700	167.29471	35.731782	-2.95505E-4	1.59287E-4
587739097520145242	167.19213	35.950989	-9999	-9999
587738616487805122	167.24302	35.747893	0.332147	1.5148E-4
587739097520144467	167.21692	36.116615	0.027395	7.44087E-5
587738616487870558	167.28529	35.936841	0.134583	1.50285E-4
587739097520210016	167.35772	36.021745	0.9674	1.99682E-3
587738615950999574	167.37986	35.507192	1.00858	2.06683E-3
587738615951065296	167.62788	35.513697	0.446564	1.77252E-4
587739096446468954	167.59586	35.318219	-9999	-9999
587738615950934221	167.3368	35.468069	4.35967E-4	1.5636E-4
587738615951065183	167.6218	35.389105	0.236083	1.11372E-4
587738615951065272	167.65748	35.426453	0.075122	1.58883E-4
587738615951065231	167.69561	35.381593	0.102184	9.31991E-5
587739096446533825	167.69497	35.251302	0.070795	8.40199E-5
587739096446533725	167.68005	35.338462	0.071126	1.3478E-4
587738615950999749	167.53422	35.422482	0.051044	1.74428E-4
587739096446533722	167.70625	35.174813	0.103484	1.94252E-4
587739096446927020	168.78634	35.405474	0	0
587738615950999703	167.45483	35.431106	0.059944	1.51666E-4
587738615950999730	167.50487	35.351903	0.071594	1.70011E-4
587739096446468177	167.64429	35.222912	0.103547	1.80768E-4
587738615414194228	167.6559	35.138579	0.032009	9.03058E-5
587739096446468227	167.64095	35.28514	0.072601	1.41587E-4
587739096446468218	167.61	35.229474	0.103177	1.20985E-4
587738615414128878	167.6082	35.067379	0.300829	1.50559E-4
587738615414128746	167.43137	35.118017	0.027848	7.29958E-5
587739096983470093	167.7608	35.800859	0.636578	1.78979E-3
