objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587732134303629000.00,2883,40,1,64,375,3,154.1213339,47.0902205,21.103094,20.198778,19.81916,19.673861,19.84259,0.134826,0.033331,0.030614,0.042434,0.174975
587732134303629000.00,2883,40,1,64,590,6,154.0695579,47.09101291,23.562284,22.637091,22.711174,23.436348,24.217121,0.655062,0.176491,0.244363,0.63202,0.425187
587732134303629000.00,2883,40,1,64,594,3,154.0616321,47.10837796,22.016775,20.506239,19.659384,19.280779,19.084208,0.274377,0.040416,0.024975,0.027825,0.083109
587732134303629000.00,2883,40,1,64,632,3,154.0726581,47.13625239,23.47566,21.76959,20.844788,20.402843,19.971418,0.613736,0.08188,0.047038,0.047923,0.121695
587732134303629000.00,2883,40,1,64,635,6,154.1047688,47.08934903,25.254192,22.138371,20.927158,20.121258,19.567234,0.759324,0.103893,0.047492,0.035679,0.081751
587732134303629000.00,2883,40,1,64,651,3,154.0834134,47.13441066,22.336966,21.203386,20.979916,20.638744,20.710934,0.439408,0.087765,0.092019,0.111879,0.421326
587732134303629000.00,2883,40,1,64,664,3,154.0890407,47.1406127,22.228945,21.189503,20.789091,20.604725,20.398764,0.313367,0.070007,0.062603,0.085364,0.253364
587732134303629000.00,2883,40,1,64,668,3,154.1203558,47.09977012,24.552696,22.0371,20.393583,19.826729,19.36175,1.125618,0.117563,0.036853,0.03455,0.083097
587732134303629000.00,2883,40,1,64,669,6,154.1214463,47.10080913,22.573997,21.54011,21.232769,21.029751,21.162182,0.284459,0.063887,0.062784,0.079137,0.33084
587732134303630000.00,2883,40,1,64,788,6,154.0607959,47.0969327,24.550337,24.597321,22.696173,22.207525,22.412516,0.890131,0.68483,0.219562,0.215267,0.709474
587732134303630000.00,2883,40,1,64,809,3,154.0620153,47.13104109,24.896011,23.04495,21.963552,21.260128,20.379833,1.125457,0.291979,0.144988,0.119029,0.203868
587732134303630000.00,2883,40,1,64,814,3,154.0999288,47.08433632,24.612732,24.082222,22.454416,21.494728,21.173157,0.883115,0.511329,0.177615,0.115925,0.322196
587732134303630000.00,2883,40,1,64,824,3,154.1152993,47.08959586,25.761778,23.604187,22.061388,21.583031,20.976294,0.60183,0.391955,0.136411,0.137419,0.29807
587732134303630000.00,2883,40,1,64,837,6,154.1233244,47.10783569,22.504734,24.143364,22.50165,21.883009,21.772118,0.273472,0.563007,0.194033,0.17246,0.537592
587732134303630000.00,2883,40,1,64,838,3,154.125279,47.10751755,25.229477,22.909237,22.047253,21.538311,21.433748,1.361358,0.346907,0.207467,0.207562,0.663957
587732134303630000.00,2883,40,1,64,925,3,154.0703253,47.1005813,25.113495,26.401079,25.898891,21.484314,23.06809,1.165015,0.608137,0.708357,0.165719,1.041204
587732134303630000.00,2883,40,1,64,926,3,154.0809064,47.08709604,24.860334,24.036621,22.834965,21.404104,20.926075,1.051134,0.595494,0.292733,0.12788,0.30794
587732134303630000.00,2883,40,1,64,929,3,154.0863393,47.08951751,23.083391,23.42012,23.433153,21.514902,23.152411,0.551,0.418619,0.540298,0.166115,0.974504
587732134303630000.00,2883,40,1,64,948,3,154.1136452,47.12838452,24.186249,24.33173,23.06135,21.652733,21.030117,0.82201,0.601696,0.29722,0.132194,0.286002
587732134303630000.00,2883,40,1,64,949,3,154.115832,47.12712241,25.956888,24.320745,22.48329,21.937277,21.4277,0.616168,0.771082,0.231393,0.223913,0.503304
587732134303630000.00,2883,40,1,64,950,6,154.1227877,47.11740838,24.261652,23.839952,22.811268,22.120811,23.318983,0.89945,0.465053,0.256905,0.215508,0.725821
587732134303695000.00,2883,40,1,65,216,6,154.1319181,47.11024072,22.537374,25.97332,25.616102,24.792768,24.076574,0.26508,0.572052,0.578976,0.726692,0.4216
587732134303695000.00,2883,40,1,65,217,6,154.1286825,47.11634269,22.285717,24.70039,23.047564,22.609478,21.715031,0.216253,0.72113,0.289546,0.30531,0.478865
587732134303695000.00,2883,40,1,65,523,3,154.1185289,47.13191414,23.407101,22.451035,21.68618,21.334442,21.186445,0.920993,0.235675,0.151775,0.180529,0.561714
587732134303695000.00,2883,40,1,65,735,6,154.1247063,47.11928075,25.008741,24.829521,23.510427,21.09981,19.663324,0.915941,0.824635,0.464185,0.091541,0.094637
587732134303629000.00,2883,40,1,64,46,6,154.0527905,47.08416653,14.639698,12.186207,11.75395,11.618836,13.080364,6.43E-03,9.43E-04,9.65E-04,1.23E-03,6.14E-03
587732134303629000.00,2883,40,1,64,47,3,154.0594252,47.08453372,21.929865,20.245131,19.082684,18.858206,18.204273,0.224285,0.029453,0.014815,0.018011,0.034863
